#gene_id	path_id	pathway
hsa:4519	path:hsa00190	Oxidative phosphorylation
hsa:4535	path:hsa00190	Oxidative phosphorylation
hsa:4536	path:hsa00190	Oxidative phosphorylation
hsa:4537	path:hsa00190	Oxidative phosphorylation
hsa:4538	path:hsa00190	Oxidative phosphorylation
hsa:4539	path:hsa00190	Oxidative phosphorylation
hsa:4540	path:hsa00190	Oxidative phosphorylation
hsa:4541	path:hsa00190	Oxidative phosphorylation
hsa:4694	path:hsa00190	Oxidative phosphorylation
hsa:4695	path:hsa00190	Oxidative phosphorylation
hsa:4696	path:hsa00190	Oxidative phosphorylation
hsa:4697	path:hsa00190	Oxidative phosphorylation
hsa:4698	path:hsa00190	Oxidative phosphorylation
hsa:4700	path:hsa00190	Oxidative phosphorylation
hsa:4701	path:hsa00190	Oxidative phosphorylation
hsa:4702	path:hsa00190	Oxidative phosphorylation
hsa:4704	path:hsa00190	Oxidative phosphorylation
hsa:4705	path:hsa00190	Oxidative phosphorylation
hsa:4706	path:hsa00190	Oxidative phosphorylation
hsa:4707	path:hsa00190	Oxidative phosphorylation
hsa:4708	path:hsa00190	Oxidative phosphorylation
hsa:4709	path:hsa00190	Oxidative phosphorylation
